YDR039C,363.330.446.239.122,YPR201W
YLR095C,845.928.714.415.022,YMR044W
YHR141C,544.498.967.386.216,YPL240C
YLR053C,59.764.790.426.787,YLR285W
YGR225W,544.498.967.386.216,YKL022C
YML014W,126.299.948.542.569,YML099C
YML014W,845.928.714.415.022,YNR046W
YFR018C,126.299.948.542.569,YGR105W
YDR376W,126.299.948.542.569,YIR024C
YNR041C,573.290.479.777.183,YOL086C
YBR141C,126.299.948.542.569,YER059W
YBR141C,126.299.948.542.569,YGL091C
YBR141C,126.299.948.542.569,YDR372C
YJR099W,126.299.948.542.569,YKL181W
YJR099W,544.498.967.386.216,YKR094C
YJR099W,544.498.967.386.216,YLR167W
YJR099W,544.498.967.386.216,YLL039C
YJR099W,126.299.948.542.569,YOR047C
YGR021W,812.962.790.923.786,YHR165C
YGL187C,126.299.948.542.569,YML042W
YGL187C,126.299.948.542.569,YGL213C
YPL099C,573.290.479.777.183,YPL106C
YHR072W,946.703.154.398.779,YLR100W
YHR079C-A,126.299.948.542.569,YJR091C
YHR079C-A,544.498.967.386.216,YPL121C
YHR079C-A,126.299.948.542.569,YPR086W
YMR207C,573.290.479.777.183,YNR016C
YMR207C,573.290.479.777.183,YOR310C
YHR194W,544.498.967.386.216,YOR147W
YHR194W,126.299.948.542.569,YKR086W
YGL102C,126.299.948.542.569,YHR194W
YMR041C,126.299.948.542.569,YPL131W
YGL045W,126.299.948.542.569,YJR091C
YGL028C,363.330.446.239.122,YJR022W
YGL028C,573.290.479.777.183,YJL034W
YBR233W-A,544.498.967.386.216,YKL138C-A
YBR233W-A,940.491.724.758.367,YDR016C
YML037C,126.299.948.542.569,YNL092W
YLR299W,126.299.948.542.569,YOL137W
YLR299W,573.290.479.777.183,YPL106C
YEL020C,126.299.948.542.569,YIL118W
YGL168W,126.299.948.542.569,YLR288C
YMR118C,363.330.446.239.122,YPL134C
YMR118C,573.290.479.777.183,YMR173W
YDR461W,126.299.948.542.569,YLR384C
YMR158W,573.290.479.777.183,YPL013C
YMR158W,573.290.479.777.183,YNR036C
YBL082C,573.290.479.777.183,YOR057W
YBL082C,126.299.948.542.569,YKL210W
YNR002C,363.330.446.239.122,YOR130C
YBR240C,126.299.948.542.569,YER081W
